Job Title,Company Name,Location,Date,Job Type,Seniority Level,Industry,No. of Applicants,Job Description
Software Engineer,Dell Technologies,"Cairo, Cairo, Egypt",08:23.8,Full-time,,IT Services and IT Consulting,129,"Software Engineer 2

Join us as a Software Engineer on our Live Optics team in Cairo to do the best work of your career and make a profound social impact.

Dell Technologies Live Optics™ is the next generation of IT workload profiling created to allow a modern method of collecting, visualizing, and sharing performance and design characteristics for IT environments. Currently Live Optics is utilized in 170 countries by IT Professionals as well as employees and partners of the entire Dell Technologies family of companies.

The Live Optics team is expanding in Cairo. Each member of Live Optics is expected and encouraged to express their creativity for problem solving and contribute to both technique and features of the product. A true opportunity for your ideas to come alive and be globally utilized is at your fingertips. Do you have a passion to work with cutting edge cloud technologies? Do you have a desire to influence evolving cloud initiatives? The Live Optics team is looking for an exceptional, highly motivated, and ambitious team player to build, execute and deliver a best of breed software stack to our customers.

What You’ll Achieve

As a Software Engineer 2, you will be responsible about reviewing the requirements, developing software code, and coordinate with the US, Irish, Indian, and Egyptian Engineering teams. You will design and implement features, often spanning multiple components within the backend infrastructure.

Core responsibilities include:
Coding solutions to a high level of testability, modularity, and maintainability.
Revise, update, refactor and debug code.
Participate in requirements analysis
Working independently and as part of an Agile Software Development Team.
Communication with management on progress, milestones, delays, and risks.

Take the first step towards your dream career

Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:

Essential Requirements
2+ years’ experience in designing, developing, and scaling software applications
Graduate from Computer Science or a related field
Knowledge in Object Oriented Programming Languages
Relational & Non-Relational Database Development Experience
Familiar with DevOps (CI/CD), TDD and test automation
Excellent verbal and written communication skills

Desirable Requirements
Experience in Distributed Systems & Microservices
Knowledge of Microsoft Azure Stack
Linux (or other Unix) Development Experience
Background in C#, .Net
Experience with JavaScript, React

Here’s our story; now tell us yours

Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We’re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.

What’s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life -- while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.

We started with computers, but we didn’t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what’s next in technology, starting today.

You can also learn more about us by reading our latest Diversity and Inclusion Report and our plan to make the world a better place by 2030 here.

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Employment Opportunity Policy here.

#LiPriority

Job Id: R142182"
Automotive Software Developer,APPRAID LLC,"Giza, Al Jizah, Egypt",08:24.6,Full-time,,,117,"Posted by
Noha Kotb 2nd
Appraid Recruitment
Job Summary: The software developer in the AUTOSAR team can work across two options - with customer teams for AUTOSAR integration into their programs or contribute to product development within the organization internally.
The individual will have tremendous learning opportunities into new domains and can grow to either becoming a Product specialist or a Tech Lead for Customer Projects. There will also be opportunities to work with AUTOSAR consortium for high performing individuals
Experience: 1 to 3 years:
Must have skills:
hands on Experience in Embedded C coding
Hands on debugging skills using Vector tools like CANoe, CANlyzer etc.
Good to have Skills:
Understanding of AUTOSAR Architecture.
AUTOSAR Integration and configuration of BSW modules like OS, RTE, CAN, COM, NVM, etc.
Good oral and written communication skills.
Basic Knowledge on Microcontroller
Basic Knowledge on Embedded systems
Roles and Responsibility:
Assigned Tasks Execution as planned - Completion and correctness of artefacts on time and first time right
Learning relevant Skills and domain - Competence growth
Entering Metrics data as designed - Data correctness for effort, quality and schedule
Self-review and Initiate upstream review - Process Compliance of tasks given
please apply on: Careers@appraid-tech.com"
Software Development Engineer,Souq.com,"Cairo, Cairo, Egypt",08:25.5,Full-time,Mid-Senior level,Internet Publishing,70,"Description

At Amazon, we're working to be the most customer-centric company on earth. To get there, we need exceptionally talented, bright, and driven people. If you'd like to help us build the place to find and buy anything online, this is your chance to make history.

We are looking for Software Development Engineers to be based in Amman, Jordan to work on some of the key initiatives planned to support our rapid evolution and growth of Amazon International Expansion Business. and in the process solve some of the most challenging problems.

Key Responsibilities
Design, implement, test, deploy and maintain innovative software solutions to transform service performance, durability, cost, and security.
Use software engineering best practices to ensure a high standard of quality for all of the team deliverables
Write high quality distributed system software
Work in an agile, startup-like development environment, where you are always working on the most important stuff.

Basic Qualifications
Bachelor’s Degree or Masters in Computer Science or related field.
Agile development, daily scrum, taking ownership of both production issues and new features.
Solid technical understanding and API documentation are essential for cross-team development.
Computer Science fundamentals in data structures.
Computer Science fundamentals in algorithm design, problem solving, and complexity analysis.
Good English written / verbal communication skills, bilingual Preferred.
Self-motivated, thrives working in a small team.
Focused and professional attitude.
Ability to maintain a high level of confidentiality.
Preferred Qualifications
2+ years of programming experience with progressive development responsibilities in Java.
Java ecosystem for daily development: Spring/Spring Boot, Apache,Ant/Maven/Gradle, Tomcat/Jetty/TomEE, Jenkins.
RESTful API specification, implementation, JSON and solid documentation will be a plus (or SOAP webservice experience with leanings towards REST).
AWS services such as EC2, S3, SQS, and Kinesis
Amazon is an equal opportunity employer, we believe passionately that employing a diverse workforce is central to our success and we make recruiting decisions based on your experience and skills.

We welcome applications from all members of society irrespective of age, gender, disability, sexual orientation, race, religion or belief.


Company - Souq.com for E-Commerce LLC

Job ID: A1842125"
Senior React Native Developer,Toptal,"Suez, As Suways, Egypt",08:26.4,Contract,Mid-Senior level,Internet Publishing,1,"About The Job

Toptal developers work with speed and efficiency to deliver the highest quality of work. We are looking for someone who is passionate about their client’s business, and ready to work on exciting projects with Fortune 500 companies and Silicon Valley startups, with great rates and zero hassles. If you are looking for a place to advance your career, enhance your skill set, and build connections around the globe, Toptal is right for you.

About Toptal

Toptal is an exclusive network of top freelancers from around the world. Fortune 500 companies and Silicon Valley startups hire Toptal for their most important projects. Toptal is one of the fastest-growing fully remote networks and empowers freelance software developers, designers, finance experts, product managers, and project managers worldwide to grow and excel in their freelance careers.

Toptal clients vary in sizes and industries, from enterprise organizations and big tech companies to Silicon Valley startups and renowned universities. Once you enter the network, our matchers will contact you with project opportunities that fit your expertise and preferences. We have experts in over 120 countries who get to work remotely on projects that meet their career ambitions.

About The Role

We are looking for a React Native developer interested in building performant mobile apps on both the iOS and Android platforms. Your primary responsibilities might vary from: (1) build smooth UIs across both mobile platforms, (2) leverage native APIs for deep integrations with both platforms, (3) diagnose and fix bugs and performance bottlenecks for performance that feels native, (4) reach out to the open source community to encourage and help implement mission-critical software fixes—React Native moves fast and often breaks things, (5) maintain code and write automated tests to ensure the product is of the highest quality, and (6) transition existing React web apps to React Native.

Requirements
3+ years of professional experience in software development
Experience creating React Native mobile solutions for Android and iOS
Firm grasp of the JavaScript language and its nuances, including ES6+ syntax
Ability to write well-documented, clean Javascript code
Rock solid at working with third-party dependencies and debugging dependency conflicts
Familiarity with native build tools, like XCode, Gradle
Understanding of REST APIs, the document request model, and offline storage
Experience with automated testing suites
Experience with system architecture or leading a software team is a strong advantage
Full-time availability is a strong advantage
If you’re interested in pursuing an engaging career working on full-time freelance jobs for exclusive clients, take the next step by clicking apply and filling out the short form to get started.

#RemoteJobReactNative"
Full Stack Developer,Smart Online Solution,Egypt,08:27.3,Part-time,,,14,"Posted by
حافظ الحاج علي 2nd
مستشار قانوني (إدارة الموارد البشرية/ جامعة الكويت)
Required
Full Stack Developer .net core
for company Smart Online Solution
Experience with
. Net core
Experience with (Angular)
Good working knowledge of creating SQL Server database tables and stored procedures
Experience with API or Rest services integrations
Good working knowledge of (Identity Server4)
Good working knowledge on C#, Entity Framework, Typescript, JavaScript, HTML, CSS;

يشترط سنوات الخبرة من (3:5) سنوات
العمل جزئي اونلاين الالتزام بعدد (4) ساعات يومياً ما عدا الجمعة
أرسل السيرة الذاتية مع سابقة الاعمال
على الاميل : info@smart-s.online
whatsapp : 00201006587008"
Python Engineer (Remote),Gemography,Egypt,08:28.3,Full-time,,,51,"Posted by
Meriem MESSAOUDI 2nd
Technical Recruiter at Gemography
About Gemography
Join Gemography and work directly with top tech companies from New York, LA, San Francisco and Paris on large-scale applications and systems.
It's remote, long term and comes with a permanent contract (CDI). After you apply and go through our 3-steps screening process, you'll be selected to join a squad working with one of our partner startups.

Your Day-to-Day
You'll work with other software engineers to build and own features across a modern tech stack.
Turn technical requirements into a plan to execute, test and deliver on time.
Continually learn and apply relevant software development practices, patterns, tools and technologies.
Mentoring your peers or be mentored by your peers in various in-house mentorship.
Contribute to improving engineering standards, tooling, and processes.

What we're looking for
1+ years of full-time work experience with one or more general programming languages (e.g. Python, JavaScript, Ruby ...)
Strong knowledge of at least one Backend framework (e.g Django, Express ...)
You care about code quality and you know what it means to ship high quality code.
You know and want to learn more about software best practices such as refactoring, clean code, CI/CD.
You’re a fast learner, can contribute from day one as well as integrate and apply new concepts quickly.
You take pride in what you create and passionate about getting the details right, even when no one's looking.

Benefits & Perks
Competitive salaries and performance bonuses.
Your own Spotify Premium 🎧 and Netflix🍿 accounts .
24-days paid time-off (+ public holidays).
Health insurance & pension (CNSS).

Important
Resume/cover letter are optional.
The job role is fully remote.
It's long-term and comes with an indefinite period employment contract."
Senior Software Engineer-Full-stack,ITWorx,"Cairo, Egypt",08:37.1,Full-time,Director,Software Development,54,"Description:
- The ideal candidate will work on both front and back-end development activities, solutions, methods, and practices.
- He/She will be pushed outside of their comfort zone to constantly learn new skills and develop reusable code libraries.
- He/She should be highly flexible and like to take a pro-active role.
- His/Her responsibility will be extended in using best practices and writing clean, tested, modular, meaningful code and diagnosing problems at any level (Client, HTTP/Network, Server, Database, OS).
- He/She should understand the business requirements and make informed decisions about the used technologies.


Requirements:

- Bachelor degree in Science, preferably Computer Science.
- 3+ years of experience.
- AWS, Python, JavaScript Frameworks.
- React, UI, JavaScript/jQuery.
- .Net Core
- Django (Optional)
- Gitlab CI/CD
- UI - HTML5"
C++ Developer/Build System Engineer,Luxoft,Egypt,08:39.1,Full-time,Mid-Senior level,IT Services and IT Consulting,41,"Posted by
Alika Magomeddibirova
IT-recruiter
Project Description
Work for a core delivery team inside Luxoft Automotive Division to develop the new incumbent of a suite of products. These products are focused on the development and delivery of entertainment system inside the automotive area. To fulfil the customer expectations we looking for experienced C++ developers. You will work in a challenging environment with intercultural and international teams where the company culture and language is a mix of German and English. In this role you will be part of the HMI development Team for premium OEM
Responsibilities
Work inside an intercultural team of many layers and competencies around software engineer, Architecture and development. The team is extended by Quality Engineering, Testing, Technical writers, Product Management.
The work is to develop, maintain and improve the build system for a Qt-based project with base of 10M lines of C++ code. Work closely with the team of architects and support migration to a new architecture approach.
Skills
Yocto, CMake, Linux

Nice to have
C++, Qt, Docker, Git/Gitlab
Languages
English: C1 Advanced"
LAMP Stack Software Engineer,c3s Software,Egypt,08:42.0,Full-time,,,27,"Posted by
Curtis Zweier, MSCS 2nd
Founder at c3s Software
Job description
The ideal candidate will have 2+ years of professional programming experience in LAMP Stack. They will also have experience designing, developing, and maintaining production software applications. This is a fully remote position, but all applicants must reside in Egypt.

About the Position:
The LAMP Stack Software Engineer is responsible for the design, development, testing, and delivery of a large scale distributed system. The engineer will participate as a member of an Agile team following standard Agile processes to understand and develop new features required by customers.

Roles and Responsibilities:
Work under the guidance of the Team Leader to design and develop solutions.
Design, develop and maintain a large-scale Linux-based Web Application.
Collaborate with customers and functional experts to understand technical requirements.

Qualifications/Requirements:
Bachelor’s Degree in Computer Science, or related IT degree
DevOps experience using AWS
Understanding of SQL databases
Strong knowledge of Apache Web Server
Experience programming in PHP

Knowledge of the following tools is highly preferred:
MySQL
Python"
Full Stack Engineer,BASS,"Cairo, Egypt",08:50.9,Full-time,,,31,"Posted by
Mohamed Abdelrazek
Technical Manager \ Solutions Architect at BASS
Bachelor's Degree in computer science, computer engineering, or related fields.

Backend:
Degree in Computer Science or related field
Designing and implementing Java-based applications.
Excellent knowledge in ORM technology(Hibernate - JPA - Eclipse link - Ejb - Spring – Spring Boot)
Designing and implementing .NET applications.

Frontend:
Hands-on experience on (React - Angular - JavaScript)

Mobile:
Excellent knowledge of native Android.
Good knowledge of Cross-platform (Xamarin- Flutter)
Good knowledge of version-control software ( Git - Subversion )
Good knowledge of Database like ( SQL - NOSQL - ORACLE)

If you find yourself will be a good candidate please send your updated cv to hr@bass.com.eg titled ""Developer Vacancy"", also you *must* mention your current salary (if you are working) and expected salary.

Salary range between (6000 - 9000) LE."
