Job Title,Company Name,Location,Full-time / Part-time,Sector or Industry,Number of Applicants,Job Description
Recruitment Specialist,Careerist,"Shebin El Kom, Al Minufiyah, Egypt",Full-time,null,41 applicants,"About the job
About The Job

You’re looking for fulfillment, we’re looking for You!

Recruitment Specialist"
Flexible Work-From-Home Opportunities,Appen,Egypt,Part-time,null,Over 200 applicants,"About the job
We are looking for people from all over the world to participate in some of our many exciting work-from-home opportunities. These opportunities range from simple surveys that can be completed in less than one hour to on-going projects that last for months or longer. Leverage your social media interest, mobile device savviness, your college degree in linguistics, online research skills, or passion for images, video, or audio. With so many diverse projects, chances are we’ve got something for you."
Flexible Hours | Work from Home Opportunities for Egyptian Arabic Speakers in Egypt,Appen,"El Faiyum, Al Fayyum, Egypt",Part-time · Associate,null,Over 200 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Flexible Hours | Work from Home Opportunities for Standard Arabic Speakers in Egypt,Appen,"El Faiyum, Al Fayyum, Egypt",Part-time · Associate,null,Over 200 applicants,"About the job
About Appen
Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally."
Travel Advisor,Teleperformance,"New Cairo, Cairo, Egypt",Full-time,null,4 applicants,"About the job
Are you looking for a place where you can make a HUGE amount of money within a short period of time? Our basic salary is 6000 + 3000 EGP Quarter bonus.
Join Teleperformance and get 9K & have the chance to get promoted to a senior title and also get the below benefits:"
Travel Advisor,Teleperformance,"New Cairo, Cairo, Egypt",Full-time,null,10 applicants,"About the job
Are you looking for a place where you can make a HUGE amount of money within a short period of time? Our basic salary is 6000 + 3000 EGP Quarter bonus.
Join Teleperformance and get 9K & have the chance to get promoted to a senior title and also get the below benefits:"
Video Data Collection for Arabic speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,32 applicants,"About the job
Participate in a project that aims to make Artificial Intelligence work for everyone. Representation from all complexion types is required for this project so a qualifying skin tone question is asked to ensure that all groups are captured.
This study will require you to receive a package to your home address which contains a kit of toy letters and shapes and shoot 250 short videos of 10-45 seconds each that show case everyday objects you find in your home. Your videos will be scripted so if you can follow instructions and have a phone you are perfect for this project."
Data Collection Project for Standard Arabic Speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,32 applicants,"About the job
Are you ready to help drive advances in computer vision applications for a major technology company? If you have a smartphone and enjoy videos, then this project is perfect for you.
We are looking for several video submissions of different rooms in your home environment with the mains lighting switched ON and NOT from battery-powered or natural light. These will be taken on your smartphone devices and uploaded through our platform."
Data Collection Project for Standard Arabic (Saudi Arabia) Speakers in Egypt,Appen,"Az Zaqāzīq, Sharkia, Egypt",Part-time · Associate,null,41 applicants,"About the job
Are you ready to help drive advances in computer vision applications for a major technology company? If you have a smartphone and enjoy videos, then this project is perfect for you.
We are looking for several video submissions of different rooms in your home environment with the mains lighting switched ON and NOT from battery-powered or natural light. These will be taken on your smartphone devices and uploaded through our platform."
Senior Human Resources Manager,Maison Pyramide,"Cairo, Egypt",Full-time,null,Over 200 applicants,"About the job
The ideal candidate will support the full scope of Human Resources responsibilities and partner with the organization on strategic initiatives. They will maintain and enhance the organization's human resources by planning, implementing, and evaluating human resources policies, programs, and practices."
