Job title,Company name,Location,Remote/on site,Date,Applicants,Full/Part time,Sector,Seniority level,JobDescription,Links
Retail Merchandise Specialist,Bingo Global for Trading & Supplies,"Cairo, Egypt",On-site,2022-03-19,68 applicants,Full-time,Null,Null,"
Keeping a regular check on inventory to ensure that stores are furnished with sufficient supplies at all times.Clearing expired, broken, and otherwise unsuitable products from the displays.Tracking sales to monitor the performance of each core product.Suggesting special offers and discounts on products.Advocating for the replenishment of supplies, if appropriate.Motivating for the discontinuation of items that have not gained traction.Retail Merchandiser Requirements:Bachelor's degree in marketing, finance, or another relevant field is strongly preferred.Prior experience as a retail merchandiser, visual merchandiser, or similar.Computer literate.Knowledge of pertinent statistical procedures to facilitate data analysis.Excellent verbal and written communication.Professional and polite.

 ",https://www.linkedin.com/jobs/view/2979862634/?eBP=CwEAAAF_sYdFHu0nxnWLPr3KKtf7M4Pk8f1bS23IgBxDDJZZbhLct69HvH3bS4qvqext2JpE4P1dk0VtS32ND08XALtC4p9kWDehtbO8MJJNxaMl-NVvtnhjST14R4_LRqPtc2jGmOSDObvhl4BfUmKQNScDj_UoS4Kf0CgnFgxiqOVeXCM_NJx7R3F20b31pwq_9yfCXnyzovI4E4gj0yWCSdMpThHMOc0kQvSFv1W7d1jK8ZnAjagmHxnzlge3aFkW9Vg7uI4dY5KUtwn2LCbSn3GPk_g_tqYnz1nCIoHgWGYPPcfhiAKTPnx1VwO7kX3HcZCPteRsSKDPNgGTDsTAeCXssJBz1Fbr2d7Ezy8w_EW0EMkTRmr8oAsLU2hPzBs_O-w3TXEmN1Ja7Ap-6DK5iQbsLg&recommendedFlavor=SCHOOL_RECRUIT&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=Oyhaoz7qOuskzUL1olxJBw%3D%3D&trk=flagship3_search_srp_jobs
Sales Executive,iSourses,"Cairo, Egypt",Hybrid,2022-03-20,34 applicants,Full-time,Null,Null,"
We are looking for success partners to fill the below position:- Sales RepresentativeJob Requirements:- Salary: 3000 EGP - 4500 EGP- Excellent communication and negotiation skills.- Work experience as a sales representative is a plus.- Ability to understand clients' needs and present solutions.- Detailed-oriented, excellent planning and presentation skills.- Students are welcome to apply.Location: Cairo - Masr Elgedida - 53 Abo Bakr ElsedeekIf you are interested, please forward your updated resume to: hr@isourses.comOr fill in the form at the below link:https://forms.gle/XwuJx2hXQ7mkQfEA7
The candidate for this position will excel at creating and closing new opportunities. By using a consultative approach to selling, this person will use their expertise to identify and qualify leads, leading to sales opportunities with both new and existing customers.  ResponsibilitiesMeet and exceed sales targetsSuccessfully create business from new and existing customer accountsManage complex negotiations with senior-level executivesBuild rapport and establish long term relationships with customers
Qualifications2-5 years' quota carrying sales experienceExperience and working knowledge of CRM systemsDemonstrable track record of over-achieving quotaStrong written and verbal communication skills
شركة ISourses تطلب موظفي مبيعات مباشرة للعمل من مقر الشركة.المتطلبات:- عدد ساعات العمل 9 ساعات - ساعة راحة- 6 ايام عمل اسبوعيا- مرتب شهري ثابت + متغير بناء على الأداء + عمولة- اللغة : عربي- متاح التقديم لطلاب الجامعاتللتقديم ومزيد من المعلومات برجاء كتابة بيناتك في نموذج التقديم هنا:
https://forms.gle/Gabp2fLFZXE2xw6x7
او ارسال الCV الي: hr@isourses.com
مع تمنياتنا للجميع بالتوفيق والنجاحشارع أبو بكر الصديق - مصر الجديدة
 ",https://www.linkedin.com/jobs/view/2973469115/?eBP=CwEAAAF_sYdFHlKpgGWXP3xFoIZmaJSp8Bex3Fd7Bj8kXIvYv8mu5zt89bQsAdTidIZkDfQGse68PGPb0L4ak-y6mtGGf5XmujTtahYjlyplPw8lA7VpnqPvNQ3XX17YoXAHYEodBY_ewi2oMwnvC5S56OpdH1PJj-q24yGgb3itoxVE0PGlWXxOUj8WBqexPJbhFm0pyTK98lZ0Xn0lasTR0PtpHoh74xP80SK3NpyAuwPwRchjbmnlb2sXfmOVKnB1lVkxtfhi5NLN9B8o9_hm4lbRUpDxHzF3rphmxUn64a1NCjAKCrxdUJCns4c8AXAxAEMh1kIVjsCgKTuLMAFDoxerU2p5goV7-Mj6OrSXKy7gdPoqArmc1lYtQQHxLgOUXK1kFXHLGB06h-8ET-ExkY3svBk&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=jTbYhZ%2BfSXK630S2AKI8NQ%3D%3D&trk=flagship3_search_srp_jobs
Data Collection Project for English Speakers in Egypt,Appen,"Belbes, Sharkia, Egypt",Remote,2022-03-18,27 applicants,Part-time,IT Services and IT Consulting,Associate,"
For this project, using your Smartphone’s camera and our Appen Data Annotation Platform (ADAP), we would like you to take pictures and videos of specific common household objects. There are 108 specific objects that we are looking for.  For each object you select, you will be asked to take one picture and 10 videos, each being 10 seconds long, of that object, under specific recording conditions.  Requirements: · Must have access to a Smartphone with a camera · English speakers living in Egypt  Please follow the steps below on how to apply for the project:  1. Visit the Appen website using the link below:   https://connect.appen.com/qrp/public/jobs?sref=fcfb74373aa3321cb1c2d6022f3c6365 2. Choose English () as your primary language.  3. Complete the Registration page and click the Submit Application button to create your account.  4. Once your account has been created, click the 'All Projects' Tab and look for this project.  5. Choose the ""Apply"" button to start your qualification to the project.  If you are already registered to Appen Connect, please log in to your account, click the “All Projects” tab and look for this project.   Here’s a guide on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156-How-do-I-create-a-profile-in-Appen-Connect-VIDEO   Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends! • Work from home with flexible hours • You can work on our projects around your other jobs  A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.   Thank you and we hope to work with you soon!
 ",https://www.linkedin.com/jobs/view/2966416819/?eBP=CwEAAAF_sYdFHkttjQcS4v5rwWDGdQeeGNnpZqirblrQHCUmoUINZ0BRbNm7sK-N3jpcEjKw_sUqVDWkyhZkt2MpaztYeOWYZGvuzQjyV9Bl464q4BuJJnBbVcj0oLMHW0PzMi7XohTHw66k6IKlHW8Sqcelit7jYV9VreWmPeZpK8bzebNgj5gAuiesxr8luSIkVPjPRUJGQHUsWOiLwDsY7danXBh8S8LT_zUYCuUUsUmfe_TbCWoLZ-pscQ2sAC8hR9I2BScHbkgi2DSJI6dps7UqJ8Rt4trdFZwCQmWF_wcR8kApwdhqSNUY338mVbfCHOU1mVMAM2S-KsbyGTIFQnRsb_TkLGEhWgA_YCSJNHurc3LO-MobNGC_pPQLW9U&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=%2FqdydG0%2F15mnqU6LHYD2Lg%3D%3D&trk=flagship3_search_srp_jobs
Sales Representative,Concept,"New Cairo, Cairo, Egypt",On-site,2022-03-20,113 applicants,Full-time,Null,Null,"
ResponsibilitiesProspect and qualify new sales leadsSchedule meetings and presentations with clientsArrange a visit to client`s location with the engineering departmentCreate, plan, and deliver presentations on company serviceTrack all the clients process to insure client's satisfaction Screen mirroring for the market and competitorsWork on general data to strengthen branding for the companyDevelop strong, ongoing relationships with prospects and clientsCoordinate with other team members and departments to optimize the sales effortQualifications Bachelor's degree in Business, Marketing, Communications, or related field2-4 years of sales experienceProven track record of successfully managing customer relationshipsExcellent interpersonal skillsHighly self-motivatedStrong verbal and written communication skillsProficient in Microsoft Office

 ",https://www.linkedin.com/jobs/view/2968044070/?eBP=CwEAAAF_sYdFH2yqsmdGWISMWUBb1bT39Jx-8N4ef2EjUmxYQALDUG8Vp2wq5nLpqfIp4e6fvH8V-3yngM6xIzbvnDrTXQ4cEYiaAyfYIcYbF6oqKr3e6qcciWkJUjRnXmFJrc6V6eVS4hbun10m2lraySAYzWUGXkzndNWKMMHlMRCgXjFYmznJ_Tp-RS55vTeL7Gh0suhJO8ZpZNM4XcOcPaIBijDPhCU1hGDIjxMhBtbv7WVVVrP3p7FAYVhdjHqIvtYRdAyZBYMsOZdUj_fPVnegQo4OQTkTdNWzRRNHooaW8AliLvuhWTAL5oXh4Y_PDYKxAMqzf2RP-EXXRbaVZRWpD_mlG0kcmtC4XgpWf8dPPtylYCn6v7NbZy8Stb37rzT1cPxJEeEsUXIzU0eRSK4mWw&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=C6090ac2uT4gS20fn0lHOw%3D%3D&trk=flagship3_search_srp_jobs
Facial Expressions Video Collection for Arabic Speakers in Egypt,Appen,"New Cairo, Cairo, Egypt",Remote,2022-03-21,21 applicants,Part-time,IT Services and IT Consulting,Associate,"
Are you ready to have a bit of fun and make faces at the camera and say some random phrases? Then this project is for you! If you have a phone and enjoy having a bit of fun take a look and give this a go.  We are working with a leading technology provider to help improve facial expressions on smartphone devices and your actions could pave the way forward with new advances. How cool does that sound?  Requirements: · Own or have access to a smartphone device · 7 videos of yourself performing a variety of fun facial actions. · Arabic Speakers living in Egypt Please follow the steps below on how to apply for the project:  1. Visit the Appen website using the link below:   https://connect.appen.com/qrp/public/jobs?sref=8edf29e02965aaca152fcc8bf6b3f991
 2. Choose Arabic as your primary language.   3. Complete the Registration page and click the Submit Application button to create your account 4. Once your account has been created, click the 'All Projects' Tab, and look for this project. 5. Choose the ""Apply"" button to start your qualification to the project. Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends! Please watch this video on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156-How-do-I-create-a-profile-in-Appen-Connect-VIDEO A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.  Thank you and we hope to work with you soon!
 ",https://www.linkedin.com/jobs/view/2972988836/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=VZpyY5eSRsiE6rIAZuSnIQ%3D%3D&trk=flagship3_search_srp_jobs
Social Media Evaluation for English Speakers in Egypt,Appen,"New Cairo, Cairo, Egypt",Remote,2022-03-21,34 applicants,Part-time,IT Services and IT Consulting,Associate,"
Help a large Social Media platform evaluate the e-commerce shopping experience by purchasing items and completing surveys related to the experience. Mystery Shoppers will be completing and reviewing the shopping experience of e-commerce advertisers on a well-known social media platform. What’s in it for you? · Mystery Shoppers keep their purchases. · Mystery Shoppers are reimbursed for their purchases. · Who doesn’t like free products? What you need to have: · Mystery Shoppers should have some disposable income to make purchases upfront. · Mystery Shoppers should be able to complete purchases with a short, 1-week timeline. · Attention to detail and strong reading comprehension is a must. How to apply? Visit the Appen link here:   https://connect.appen.com/qrp/public/jobs?sref=35ad5cd04de3278f11007ff909c40ad3Choose English () as your primary language.  Complete the Registration page and click Submit Application. Once your account has been created, click the 'All Projects' Tab, and look for this project. Choose the ""Apply"" button to start your qualification to the project.  Please watch this video on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156-How-do-I-create-a-profile-in-Appen-Connect-VIDEO Don’t miss the chance to earn extra while at the comfort of your own home. This is a great opportunity for you and your friends and family!   A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.
 ",https://www.linkedin.com/jobs/view/2972976540/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=xd0CsFIEOzAHcwJVsipRaA%3D%3D&trk=flagship3_search_srp_jobs
Call Center Representative,Various Companies,"Cairo, Egypt",On-site,2022-03-21,21 applicants,Full-time,Null,Null,"
Looking for Fluent speakers in the below positionsCall Center Representative (English)Call Center Representative (German)Call Center Representative (French)Salary ranging between 6,000 up to 15000 depending on the account2 days off- rotationalLocation : Smart village & Maadi (English accounts)Egyptian Graduates only.medical and social insurance+ Transportation+paid training
 ",https://www.linkedin.com/jobs/view/2976520868/?eBP=CwEAAAF_sYdFH2MqVPN-vti8Uz7YVzmNbqpRafY8h-dFN1BiQql1Ks1KZqC17Z5tefZKngNtNPLYaoZ-BZsqpSy8YU5ykirw2VyXk92sjxa9qdpFmIJh0ucjNNcfWuXUNOBWZitjCq4-gO6GpapE9ELwBPH6yr2u1SpBjydGOoCH-WU22f-0gEgAblqBoOOmypYOaANb1xYFlyL1QnBopMZqesnkBRYqdUJXWYIqfSmRuG5wEiVIO3x0RSPLHnfQfKlWsoXTMOCyccLzk3oXbIuymtsJ5AZrNPYmrAa1Fded2SEHDL2r1ARQ_dGKjN4WoOLj5rdBmYx2XNSzGfewcO8owftepsYdF6R8v5RvffUlXwTjEbA9Xys_-8oXvd2j8fuT1ym_T6dL5umIL8FuSRCQqw&recommendedFlavor=SCHOOL_RECRUIT&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=Tr8R30GPZJKJOvGZIVZFeA%3D%3D&trk=flagship3_search_srp_jobs
Guest Relations Agent - InterContinental Semiramis Hotel,IHG Hotels & Resorts,"Cairo, Cairo, Egypt",On-site,2022-03-22,12 applicants,Full-time,Hospitality,Entry level,"
            About us At InterContinental Hotels & Resorts our role is to put the glamour into international travel. That is where you come in. When you are part of the InterContinental Hotels & Resorts brand you are more than just a job title. At InterContinental Hotels & Resorts we look for people who are charming, confident, and internationally-minded; people who know what it takes to exceed guest expectations. Join us as Guest Relaations Agent in InterContinental Semiramis . You will have ambition, talent and obviously, some key skills. Because, for this vital role, were looking for someone who: - has Sense of hospitality - has prior work experience in hotel operational departments - has proven track record successful adminstration - has the ability to handle guest complains with a smile - has great interpersonal skills.

Your day to day Financial returns:
 Plan and co-ordinate the provision of friendly, efficient services to guests Schedule activities for guests Plan and co-ordinate all promotional activities targeting clients Trace relevant statistics about clients Co-ordinate and supervise all activities for guests Assist with check-ins/check-outs of clients Greet Guests upon arrival Cover guest relations desk Assist guests with airline bookings and reconfirmation’s Assist all departments in being receptive to the needs of guests Attend recreation activities when necessary Plan and conduct group and function rundown meetings Assist in any other duties when required by the Guest Relations Manager Assist with translations (information; guest directory; menus etc) as required Provide feedback from Guests to Front Office Manager for action People: Demonstrate co-operation and trust with colleagues, supervisors, teams and across departments Communicate well to ensure effective shift hand-overs Actively participate in organised meetings Interact with department and hotel staff in a professional and positive manner to foster good rapport, promote team spirit and ensure effective two way communication   Guest experience: Build and maintain positive relationships with all internal customers and guests in order to anticipate their needs. Anticipate guest needs, handle guest enquires, and solve problems Create a positive hotel image in every interaction with internal and external customers Adhere to hotel brand standards Maintain a high level of product and service knowledge in order to explain and sell services and facilities to guests Assist guests and escort them to locations within the hotel at their request Maintain knowledge of special programs and events in the hotel in order to recognize and respond to guests needs Maintain current Hotel information to be able to provide information to guests Responsible business: Strive for constant improvement and take responsibility for your own performance Adhere to InterContinental Hotel Group Corporate Code of Conduct Adhere to Hotel Handbook and general policies and procedures Adhere to Front Office Policies and Procedures Report problems to Management with suggestions for resolution What we need from you Minimum 1 years' experience in a hotel front office department Excellent customer relations, problem solving and time management skills Working knowledge of hotel property management systems such as Opera. University graduate Excellent communication skills Excellent command of English language What we offer In return we'll give you a competitive financial and benefits package which includes healthcare support, dental, vision, disability and life insurance support. Eligible to receive complimentary dry cleaning service at the hotel . Hotel discounts worldwide are available as well as access to a wide variety of discount programs and the chance to work with a great team of people. Most importantly, we'll give you the room to be yourself. So what's your passion? Please get in touch and tell us how you could bring your individual skills to IHG. IHG is an equal opportunity employer Minorities / Females / Disabled / Veterans.
 ",https://www.linkedin.com/jobs/view/2983855202/?eBP=CwEAAAF_sYdFH4nKN-YcvhXFkDgW3newzXad2hKkj31yFe4mX7Qzs0jc05KPAD_TR9cz_DWy2Xi7-4FTbTz-T5w5wD1AZmaDo9lweQ0_plSs3UTNKHvd7L6HIIfAFpelcWUcFhBBr63AcMP8jiIv_9Ob8a0RnFR6NXUIY1x0gU-X9UpgynfRy4GkFWMB_Ysz8hTTjqLWGRV8N8v4Qq5KsK3KuTA7_1bcesU1xzeC5hxxLnHSpbO9F7XXCgBIg5_vlUQHeJnBOW0GA8HWEpJ1cEDxfKF5ghTT7XBhkYSHqk6c4VdNb8Oeo8PUXN66YlyPEE2uH0mwZuYJOSqNPBn_6oSs6KQ4k-n-HeqODthW9DoLTcZoLPtvQ0PjGE_7_xk5QZ5PVg&recommendedFlavor=SCHOOL_RECRUIT&refId=HejeKHYHb6db2yQlI%2F6brA%3D%3D&trackingId=%2BPsl0dnjIojGU9yOyjPY8g%3D%3D&trk=flagship3_search_srp_jobs
Facial Expressions Video Collection for Arabic Speakers in Egypt,Appen,"Belbes, Sharkia, Egypt",Remote,2022-03-18,43 applicants,Part-time,IT Services and IT Consulting,Associate,"
Are you ready to have a bit of fun and make faces at the camera and say some random phrases? Then this project is for you! If you have a phone and enjoy having a bit of fun take a look and give this a go.  We are working with a leading technology provider to help improve facial expressions on smartphone devices and your actions could pave the way forward with new advances. How cool does that sound?  Requirements: · Own or have access to a smartphone device · 7 videos of yourself performing a variety of fun facial actions. · Arabic Speakers living in Egypt Please follow the steps below on how to apply for the project:  1. Visit the Appen website using the link below:   https://connect.appen.com/qrp/public/jobs?sref=a73d6a80fb4bf33d9c7322633add9d73  2. Choose Arabic as your primary language.   3. Complete the Registration page and click the Submit Application button to create your account 4. Once your account has been created, click the 'All Projects' Tab, and look for this project. 5. Choose the ""Apply"" button to start your qualification to the project. Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends! Please watch this video on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156-How-do-I-create-a-profile-in-Appen-Connect-VIDEO A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.  Thank you and we hope to work with you soon!
 ",https://www.linkedin.com/jobs/view/2966414986/?eBP=CwEAAAF_sYdJZLGyZ2jXw5kBooBIxHpIov7EslfwcmgvLW6Pa_dyvwWgEw_6zyZ35TcfV7J48axXmEi_QOdO7DnnH9zOOFCk_6e-0iLpCmA6iqYe4gGIKa6uhvCMUxsufB6LH24Uox9kLmG2d1uMqwKjHPaxBB_1ejxLG6dooavNKtoweS3YTPdtrYMT8JzSWKLxllIT-8zZDT7IikdSzADCnBxq6wm3IT54-dpPbkAM0zo9tOwHTE9Gj8M9Bix0lxRUskA7oh4eelHlJW4ZVsWwMCPyxQSRMNWh4NAjCnKK1nuMlco1yvPdNMrD2lkx9kNelL1gwAzLCx-fT7JoCD96TS61XafgkSMD34GrHH4taEScl4QsVXfe51ctB6-zWsA&recommendedFlavor=SCHOOL_RECRUIT&refId=FuO8yIOhdwllJoRKXQ2gAw%3D%3D&trackingId=C3Q7n3GMmbFjqCOjQsP8dg%3D%3D&trk=flagship3_search_srp_jobs
Industrial Safety Officer - Semiramis InterContinental Cairo,IHG Hotels & Resorts,"Cairo, Cairo, Egypt",On-site,2022-03-22,7 applicants,Full-time,Hospitality,Associate,"
            About us At InterContinental Hotels & Resorts our role is to put the glamour into international travel. That is where you come in. When you are part of the InterContinental Hotels & Resorts brand you are more than just a job title. At InterContinental Hotels & Resorts we look for people who are charming, confident, and internationally-minded; people who know what it takes to exceed guest expectations. Join us as a Industrial Safety Officer in InterContinental Semiramis. You will have ambition, talent and obviously, some key skills. Because, for this vital role, were looking for someone who: - has Sense of hospitality - has prior work experience in hotel operational departments - has proven track record successful administration - has the ability to handle guest complains with a smile - has great interpersonal skills.

Your day to day
 Keep record of safety-related accidents within a particular time frame Recommend appropriate protective equipment that workers should wear while carrying out tasks Supervise the installation of potentially harmful equipment and the disposal of hazardous substances Stop the continuation of processes that are deemed harmful to the health of workers Review existing safety policies and update them where necessary Carry out or organize important safety-related training within the company or organization Conduct an assessment of possible risks and ensure that preventive measures are taken. What we need from you Minimum 2 years’ Experience in Same position preferred. -Previous Experience in luxurious Hotels. -Good English language. What we offer In return we'll give you a competitive financial and benefits package which includes healthcare support, dental, vision, disability and life insurance support. Eligible to receive complimentary dry cleaning service at the hotel. Hotel discounts worldwide are available as well as access to a wide variety of discount programs and the chance to work with a great team of people. Most importantly, we'll give you the room to be yourself. So what's your passion? Please get in touch and tell us how you could bring your individual skills to IHG. IHG is an equal opportunity employer Minorities / Females / Disabled / Veterans.
 ",https://www.linkedin.com/jobs/view/2983869477/?eBP=CwEAAAF_sYdJZH3PhqMdKfO_FapO3xpxx0ndiWxxsexe9MxUVOA1DaT5c_lg1baDTBQvykeHqzV609W1DTcA-ubW64WSp0viMjbMfYYVkc9R0aNF-FFPagoB7P9EfLUP2LBQ2uGnJtiBbP7XpCToFLdgtLHQtf47TcCwNfM7FS8S2ILxiqgpsUkD-fuFgNAlsCHckZDrq8h8x55-YzGcGojoq4lfVwaOy0pc2ZCC6M77ClF_c1_wQB0r1X0iFMWkrmYcTKPOfpCnMW9lXObFFJn_F7D0_0dmQdY4RFoH8UgnzRnT2Rfc1V-iwaFuo_gR1zJAL7Fkw1RCvSckZpY6ISEJ2XUrHYGfvWaO2qxwtKNuOUv4aLiTBjqSZtdgWsDCaFZT_w&recommendedFlavor=SCHOOL_RECRUIT&refId=FuO8yIOhdwllJoRKXQ2gAw%3D%3D&trackingId=qR%2BVW%2BVsDtAzokmwnhKhSg%3D%3D&trk=flagship3_search_srp_jobs
